"screening_id","TI","AU","PY","SO","DOI","AB","screening_decision","screening_reason","screening_notes"
484,"Design and Development of an IoT-Blockchain Platform for Reliable Sensing Data Management","Nashar, A.; Brata, J.T.; Imran, A.A.",2025,NA,"","This paper presents an IoT-Blockchain platform to ensure reliable sensor data management in IoT systems. By integrating blockchain technology, the solution enhances data security, transparency, and decentralization, addressing vulnerabilities inherent in centralized architectures. Blockchain’s immutability and decentralized nature enable secure data sharing, foster stakeholder trust, and automate processes via smart contracts. The study evaluates key performance metrics, such as device registration time, sensing data storage efficiency, and query execution speed, demonstrating the platform’s superiority over existing blockchain systems. Results highlight its robustness in realtime data handling, scalability, and auditability. The proposed framework showcases the transformative potential of combining IoT and blockchain, offering a trustworthy infrastructure for applications like smart cities, supply chains, and industrial automation. Ultimately, this work underscores how decentralized architectures can revolutionize IoT data management, ensuring integrity while optimizing operational efficiency. The research underscores blockchain’s role in overcoming IoT security challenges while enabling next-generation decentralized and auditable data ecosystems. © 2025, Anhalt University of Applied Sciences. All rights reserved.","exclude","E2: Non-research context",""
485,"Decentralized Identity Verification System for Financial Service (KYC Platforms)","Singh, T.; Harika, A.; Devi, B.S.C.; Varsha, R.S.",2025,NA,"10.1109/ICIMIA67127.2025.11200178","The financial industry faces persistent challenges in identity verification, including risks of identity theft, data breaches, centralized control, and compliance with privacy regulations. Traditional identity systems rely on intermediaries, leading to inefficiencies, high costs, and vulnerability to tampering. To address these issues, this paper proposes a decentralized identity verification system powered by blockchain technology. By leveraging Ethereum smart contracts and Interplanetary file system (IPFS) for decentralized storage, the system eliminates intermediaries, ensures tamper-proof, transparent, and privacy-preserving identity management, and grants users' full control over their personal data. Identity proofs are stored as cryptographic hashes, enabling secure and verifiable authentication while maintaining compliance with privacy standards like General data protection regulation (GDPR) [1]. Evaluations demonstrate improvements in security, cost-effectiveness, and scalability, indicating strong potential for adoption in regulatory- compliant financial environments. © 2025 IEEE.","exclude","E2: Non-research context",""
486,"Blockchain-Based AI Model Integrity and Verification Framework","Živadinović, M.; Simić, D.",2025,NA,"10.1007/978-3-032-08093-6_3","This paper presents a novel framework for ensuring the integrity and verifiability of AI models using blockchain technology, specifically leveraging the Solana blockchain’s off-chain capabilities. As artificial intelligence continues to play an increasingly critical role across various sectors, the need for transparent, traceable, and auditable AI model management has become paramount. Our proposed solution addresses this challenge by implementing a tokenization approach for AI models, which enables secure tracking of model lineage, modifications, and ownership transfers. The framework utilizes Solana’s high-performance blockchain and the Token-2022 program to create a tamper-resistant record of AI model provenance and metadata. By incorporating parent-child relationships between tokens, the system facilitates the tracing of model evolution and specialization. This approach enhances trust in AI systems by providing a verifiable model development and deployment history. We discuss the implementation details, including the off-chain solution architecture, tokenization process, and metadata structure. The paper also explores potential future developments, such as on-chain implementations, advanced encryption techniques, and creating an AI model marketplace. Our work contributes to the growing field of blockchain applications in AI governance, offering a scalable and efficient solution for maintaining AI model integrity in an increasingly complex technological landscape. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","include","",""
487,"A Review of Secondary Study on the Verification and Validation of Blockchain Applications: Preliminary Results","Gradišnik, M.; Beranic, T.; Turkanović, M.",2025,NA,"","In recent years, the development of blockchain technologies, especially programmable smart contracts, has experienced an exceptional growth. This growth is mainly due to the potential these technologies show in various industrial fields. Due to the recognized numerous advantages of blockchain for business environments, there arises a need for their introduction into software solutions, which must be built with high quality to be useful for users. A growing body of literature is found addressing validation and verification techniques. In this paper we conduct review of secondary studies. We conducted an systematic literature review of secondary studies to gain a more refined understanding of good practices for quality assurance, from which conclusions could improve the development process of blockchain-based applications. The systematic search yielded 377 studies of which 37 are selected for further analysis. The literature review revealed that, in quality assurance, formal verification techniques and static analysis are important alongside testing. Due to the immutability of smart contracts, it is recommended to use techniques complementarily. The analysis of individual internal quality aspects revealed that most attention in research field was paid to security, as this is the key attribute that determines whether the implementation of blockchain-based software solutions achieves its intended goals. © 2025 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).","exclude","I5: Domain relevance",""
488,"Holistic Security for Distributed Systems: Blockchain-Based Passport Identity Verification and Al-Driven Dynamic Trust Management","Lin, R.; Luo, Y.; Burra, V.D.K.",2025,NA,"10.1109/CCET66260.2025.11199633","This paper proposes and experimentally validates a holistic security framework for distributed systems, combining blockchain-based passport identity verification with AI-driven dynamic trust management. The framework addresses two critical challenges in decentralized environments: ensuring verifiable digital identities and maintaining scalable, adaptive trust evaluation. In the identity layer, electronic passports are used to generate zero-knowledge proofs, allowing users to demonstrate specific attributes without exposing sensitive personal information. This mechanism provides strong Sybil resistance and aligns with Self-Sovereign Identity principles. The trust layer incorporates machine learning models to continuously monitor node behavior and update trust scores in real time, enabling the system to respond to anomalies and malicious activities dynamically. To evaluate the practicality and effectiveness of the proposed framework, we developed a prototype system and conducted experimental validation in a simulated distributed environment. The results confirm that the integrated approach enhances authentication assurance, improves trust coordination, and supports sustainable scalability through efficient consensus and computation mechanisms. This work offers a promising direction for securing blockchain, IoT, and other decentralized systems. Future efforts will focus on field deployment, cross-domain interoperability, and regulatory compliance. © 2025 IEEE.","exclude","I5: Domain relevance",""
489,"Energy Ecosystem Integration and Master Data Management Platform: E-MIND","Yardımcı, A.; Yumuk, E.; Topcu, B.; Kerem, A.; Celikpence, M.; Koldemir, S.K.",2025,NA,"10.1109/ICAC65379.2025.11196260","In recent years, the energy sector has been undergoing a profound transformation driven by digitalization, the proliferation of distributed energy resources, and the pursuit of sustainability objectives. That is, it is evolving rapidly in line with digital transformation initiatives and global sustainability goals. This paper presents the design of a comprehensive platform, E-MIND, which aims to enable the integration and facilitate the efficient management of energy data within local energy ecosystems. E-MIND is designed to integrate heterogeneous internal systems, standardize data management, and optimize operational processes. The platform features a flexible and scalable architecture designed with microservice-based components, an API management layer, and customizable plugin support to ensure adaptive responsiveness to operational needs. Unlike conventional direct interconnection methods, E-MIND establishes centralized and secure service connections through proxy services. Furthermore, E-MIND contributes to the digital transformation of power distribution systems by delivering solutions that enhance operational efficiency, strengthen security, and optimize costs. © 2025 IEEE.","exclude","I4: Technical implementation",""
490,"SlideSLAM: Sparse, Lightweight, Decentralized Metric-Semantic SLAM for Multirobot Navigation","Liu, X.; Lei, J.; Prabhu, A.; Tao, Y.; Spasojevic, I.; Chaudhari, P.; Atanasov, N.; Kumar, V.",2025,NA,"10.1109/TRO.2025.3629786","This article develops a real-time decentralized metric-semantic simultaneous localization and mapping (SLAM) algorithm that enables a heterogeneous robot team to collaboratively construct object-based metric-semantic maps. The proposed framework integrates a data-driven front-end, for instance, segmentation from either RGBD cameras or light detection and ranging (LiDAR) and a custom back-end for optimizing robot trajectories and object landmarks in the map. To allow multiple robots to merge their information, we design semantics-driven place recognition algorithms that leverage the informativeness and viewpoint invariance of the object-level metric-semantic map for inter-robot loop closure detection. A communication module is designed to track each robot's observations and those of other robots whenever communication links are available. The framework supports real-time, decentralized operation onboard the robots and has been integrated with three types of aerial and ground platforms. We validate its effectiveness through experiments in both indoor and outdoor environments, as well as benchmarks on public datasets and comparisons with existing methods. The framework is open-sourced and suitable for both single-agent and multirobot real-time metric-semantic SLAM applications. © 2004-2012 IEEE.","exclude","I4: Technical implementation",""
491,"Decentralized software project outsourcing: Blockchain based auctioning and milestone verification","Mis, E.-O.; Rusu, D.-S.; Vasilateanu, A.",2025,NA,"10.1109/SmartBlock4Health64843.2025.11189442","When it comes to outsourcing in the field of software engineering, we can identify numerous challenges that might be solved using blockchain. In this article we present a system that has the goal of easing auction-based outsourcing where a client lists its available contracts, and the contractors can bid on them. The auction process is one of the main problems that can be improved with blockchain due to its transparency, ensuring the bidding process is fair and lacks hidden agreements between the parties involved. Immutability provided by the ledger will help with resolving disputes, while the participants will preserve their anonymity for a biased-free auction process. © 2025 IEEE.","exclude","I5: Domain relevance",""
492,"Real-Time Fake News Detection System using LSTM and Blockchain for Tamper-Proof Verification","Harshika, A.V.; Santhosh, T.; Viknesh, C.",2025,NA,"10.1109/ICISC65841.2025.11188198","In this paper, we propose a novel detection of misleading content systems based on Long ShortTerm Memory (LSTM) networks and Transformer models (BERT) for improved text classification. The decentralized ledger system is interconnected for data integrity and tamper-proof verification. VS Code developing the feature and web apps for real-time deployment. To ensure accurate detection, the architecture utilizes state-of-the-art machine learning, while verification is done for reliability over blockchain. The model is trained on a variety of datasets, such as the LIAR dataset as well as custom-built datasets. It provides excellent accuracy, rapid processing, and secure data handling. The integrated system produced a 94% accuracy rate, exceeding standard methods. Integration with blockchain boosted trust and transparency around the detection. © 2025 IEEE.","include","",""
493,"A Distributed Approach to Privacy-Preserving Location Verification Using Blockchain and zk-SNARKs","Ramesh Naidu, P.R.; Sriranjini, K.S.; Sharan, T.D.; Singh, R.; Upadhyaya, D.R.",2025,NA,"10.1109/NMITCON65824.2025.11188408","Imagine a system where individuals or devices can prove their location at a specific time without revealing sensitive details like exact GPS coordinates or personal identifiers. This paper presents a revolutionary multi-signal proof-of-location (PoL) system that combines GPS, Wi-Fi signal strength (RSSI), and Bluetooth proximity with zeroknowledge proofs (ZKPs) to create tamper-proof, privacypreserving location attestations. By leveraging blockchain technology for decentralized validation and record-keeping, the system transcends the limitations of centralized location services and single-signal approaches like GPS, addressing key challenges such as spoofing, tampering, and lack of indoor accuracy. This work has far-reaching implications for industries like logistics, access control, gaming, and metaverse integration. © 2025 IEEE.","exclude","I5: Domain relevance",""
494,"ADDRESSING DATA MANAGEMENT CHALLENGES IN SRI LANKAN CONSTRUCTION INDUSTRY THROUGH BLOCKCHAIN INTEGRATION","Wijesundara, W.M.N.D.; Thayaparan, M.; Dulshan Costa, M.D.D.",2025,NA,"10.31705/WCS.2025.8","The construction industry in Sri Lanka continues to face critical data management challenges due to fragmented systems, manual processes, and a lack of interoperability among digital platforms. These inefficiencies lead to delayed decision-making, data duplication, and reduced stakeholder trust. In response, block-chain technology has gained attention as a transformative digital solution capable of enhancing transparency, traceability, and security in construction data workflows. This study first explores the DM challenges in construction and then investigates the potential of integrating BC technology to address these DM challenges within the Sri Lankan construction sector. A mixed-method research approach was employed, comprising 35 quantitative questionnaires and 13 qualitative expert interviews with industry professionals. The findings identified several persistent DM challenges, including poor real-time data access, data ownership ambiguity, and cybersecurity risks, and such challenges were mapped against the core features BC such as decentralisation, immutability, auditability, and smart contracts. While practical deployment was not undertaken, the study presents a conceptual foundation for how BC can enhance construction DM. The research contributes to the broader discourse on digital transformation in construction by offering context-specific insights and strategic recommendations for future adoption of BC in Sri Lankan built environment. © 2025, Ceylon Institute of Builders. All rights reserved.","include","",""
495,"Large-Scale Semantic Data Storage and Query Optimization Based on HBase","Qiao, Z.; Jing, Y.; Shi, Z.; Fu, D.",2025,NA,"10.1109/CAIBDA65784.2025.11183566","With the widespread application of semantic data, traditional RDF storage and query systems are facing bottlenecks in scalability and operational efficiency. How to efficiently organize and query large-scale semantic data has become an important issue for accurate processing of data elements and large-scale precision fine-tuning of artificial intelligence. To this end, this paper proposes an RDF data storage and query model based on the distributed database HBase. In terms of storage, in order to improve the high-concurrency and efficient query effect of HBase tables, a pre-partitioning storage method is proposed, which effectively solves the hot spots and load imbalance of data in HBase, and provides joint optimization support for subsequent parallel queries; in terms of query, combined with Bloom filters, skipping HFile retrieval optimizes the fine-grained retrieval service of data and improves query efficiency. Theoretical analysis and experimental results show that the storage and query optimization scheme proposed in this paper can achieve efficient storage and query of semantic big data. © 2025 IEEE.","exclude","I5: Domain relevance",""
496,"Fact-Checkers as New Journalistic Mediators: News Agencies’ Verification Units and Platform Dynamics","Cazzamatta, R.",2025,NA,"10.17645/mac.9867","This article examines how European international news agencies—Reuters, Agence France-Presse (AFP), Deutsche Presse-Agentur (dpa), and EFE—engage with the emerging subgenre of external fact-checking journalism in response to (dysfunctional) hybrid media systems. Through a content analysis of 860 verification articles published between January and December 2022 and interviews with seven experts, the study demonstrates that (external) fact-checking practices are deeply embedded in these agencies’ operations, leveraging extensive global communication networks to deliver timely and accurate verifications, reinforcing journalistic authority in the digital age. Partnerships with tech platforms were viewed as a strategic opportunity, a sustainable digital-age revenue stream at the time, enabling the creation of dedicated fact-checking units to combat disinformation. Nonetheless, these agencies prioritize verifying content from ordinary social media users over domestic political claims stated by public figures, with 90% to 100% of their articles focusing on online rumors, except for dpa. Key selection criteria include virality, particularly on Meta platforms, timeliness, and social impact. Despite criticisms, the collaboration between historically influential global news agencies and tech platforms offers critical insights into the workings of (dysfunctional) hybrid media systems. © 2025 by the author(s).","exclude","I5: Domain relevance",""
497,"TruthChain: A Decentralized News Verification System Using Blockchain and AI","Murugalakshmi, V.; Venkadesh, P.; Divya, S.V.; Gopinath, T.; Jesso, P.; Raja, T.S.",2025,NA,"10.1109/ICCPCT65132.2025.11176464","The rapid proliferation of misinformation, predominantly through online digital platforms in the 21st century, has heightened concerns regarding authenticity and trust in the content, particularly regarding its usage in the manipulation of society. This article makes the first attempt at addressing this problem by presenting a decentralized verification system for news called Truthiness tool employing a combination of blockchain and Artificial Intelligence, thereby improving the chances of successfully combating misinformation. The system implies block chain technology for keeping immutable records for verified contents so as to ensure protection and reliability against any form of tampering or manipulation. In addition to that, it has some components based on machine-learning validation AI: Natural Language Processing (NLP) techniques that permit a real-time verification mechanism for the validity of news articles and claims. The PoV consensus model enables validators to check the authenticity of news content while staking tokens in the chain to do so-this serves as good motivation for participation, thus building a strong decentralized verification process. TruthChain is more transparent due to providing a publicly accessible audit trail of content validation, giving users a clear and trusted insight in the news they associate with. The experimental results reveal that the proposed framework provides a high verification accuracy rate with low costs for computation. It is also characterized as adaptable through scalability mechanics and application by combinations within journalism, social media, and governmental fact-checking underscoring why it positions itself as the long-awaited solution to endless problems of fake news detection throughout its transparency, security, and audit capabilities. With the power of AI-enabled fake news detection and blockchain based verification in hand, TruthChain presents a fresh solution to information integrity in the digital landscape. © 2025 IEEE.","exclude","I5: Domain relevance",""
498,"Research on Efficient Storage Consistency Verification Technology for On-Chain and Off-Chain Data","Lin, W.; Sun, Y.",2025,NA,"10.32604/cmc.2025.067968","To enable efficient sharing of unbounded streaming data, this paper introduces blockchain technology into traditional cloud data, proposing a hybrid on-chain/off-chain storage model. We design a real-time verifiable data structure that is more suitable for streaming data to achieve efficient real-time verifiability for streaming data. Based on the notch gate hash function and vector commitment, an adaptive notch gate hash tree structure is constructed, and an efficient real-time verifiable data structure for on-chain and off-chain stream data is proposed. The structure binds dynamic root nodes sequentially to ordered leaf nodes in its child nodes. Only the vector commitment of the dynamic root node is stored on the chain, and the complete data structure is stored off-chain. This structure ensures tamper-proofing against malicious off-chain cloud servers of off-chain cloud servers. Preserves storage scalability space, realizes the immediate verification of stream data upon arrival, and the computational overhead of on-chain and off-chain hybrid storage verification is only related to the current data volume, which is more practical when dealing with stream data with unpredictable data volume. We formalize this as an efficient real-time verification scheme for stream data in on-chain and off-chain hybrid storage. Finally, the technology’s security and performance were empirically validated through rigorous analysis. © © 2025 The Authors.","exclude","I5: Domain relevance",""
499,"An Evolutionary Approach to Joint Latency and Reward Optimization for Block Verification in Blockchain Networks","Han, S.; Liu, X.; Zhou, M.; Zhu, K.; Zhao, L.; Li, C.",2025,NA,"10.1109/TSMC.2025.3620571","This work studies the problem of block validation in a blockchain network where a block manager acting as a task publisher sends a task (block validation) to all the workers (miners) within the network. The latter carries out the block validation and finally returns the final results to the former. The goal of this work is to maximize the block manager's profit by jointly optimizing the latency of the block verification process and the reward offered by the manager to miners. Note that the latency and reward are closely coupled. Therefore, in this case, if it is solved directly, they are offered separately, and their dependency is not well considered, leading to overall poor performance. This work formalizes it as an optimization problem considering both delay and reward, and proposes an evolutionary approach, namely, the reborn dandelion algorithm (RDA), to solve it. Specifically, in the proposed algorithm, each individual contains both delays and rewards for different types of miners. A reborn strategy is designed to reborn an individual to replace the worst one in the current population, with the aim of enhancing its exploration ability. A greedy selection strategy is proposed to enhance its exploitation ability. The experimental results on CEC2013 functions and blockchain network instances indicate that our proposed approach is significantly superior to other evolutionary-based ones. © 2013 IEEE.","exclude","I5: Domain relevance",""
500,"Bridging Metadata Service and CXL: A Metadata-Grained and Directory-Aware Storage Engine for Distributed Storage Systems","Xu, X.; Xie, X.; Qiao, X.; Tian, L.; Wu, Q.; Gu, W.; Liquan, L.",2025,NA,"10.1109/CLUSTER59342.2025.11186458","The AI training and inference workloads are particularly metadata-intensive and drive an urgent need for distributed file systems (DFS) with high IOPS metadata service. Meanwhile, the emerging Compute Express Link (CXL) protocol introduces memory semantics to the PCIe-attached storage devices and is compelling for building high-performance metadata storage. However, a fundamental mismatch exists between the metadata access granularity and the internal storage granularity of typical CXL-enabled storage devices. Besides, existing metadata storage engines lack the perception of the DFS directory structures and metadata semantics in distributed storage systems. In this paper, we investigate the way to employ CXL-enabled devices as the storage backend for DFS metadata and propose MDSec, a metadata-grained and directory-aware metadata storage engine that bridges the semantic gaps between the DFS metadata service and CXL-enabled storage devices. MDSec unifies the granularity of all kinds of metadata for better metadata placement across CXL-enabled persistent storage, designs a directory-aware metadata grouping and placement strategy to improve the spatial locality of metadata access, and employs fully parallel metadata handlers to enhance metadata processing parallelism for parallel DFS client accesses. We evaluate MDSec on a cluster with 25 nodes. MDSec improves the throughput of Ext4 and NOVA by 258% and 53%, while reducing their latency by 46% and 11%, respectively. These results indicate that MDSec efficiently integrates CXL storage with DFS metadata service. © 2025 IEEE.","include","",""
501,"Semantic-IoT Framework: Knowledge Graph Generation from IoT Platforms","Du, J.; Tian, Y.; Berktold, M.; Streblow, R.; Müller, D.",2025,NA,"","Semantic technologies, and knowledge graphs (KGs) in particular, show promising potential for enhancing interoperability among diverse IoT systems, especially in the building sector. However, the extensive manual effort required for semantic modeling limits the widespread adoption of these technologies in engineering practice. This paper introduces Semantic-IoT, a framework that generates KGs from IoT platforms using the RDF Mapping Language (RML). By employing a semi-automated approach for declaring RML rules alongside fully automated KG generation, the framework reduces the manual effort associated with semantic modeling. The generated KGs comprehensively represent both system information and data interactions, thereby facilitating the development and deployment of cross-platform applications. A building automation use case is presented to demonstrate the feasibility and effectiveness of the proposed approach. © 2025 Copyright for this paper by its authors.","exclude","I5: Domain relevance",""
502,"From Collection to Analysis: A Blockchain Solution for Transparent and Reliable Chain of Custody in the O&G Sector","Caldas, T.; Mangeth, A.L.; Miranda, Y.R.; Alves, P.H.; Nasser, R.; Robichez, G.; Silva, G.M.; de Miranda, F.P.",2025,NA,"10.5220/0013497600003929","The oil and gas (O&G) sector relies on a robust chain of custody mechanisms to ensure the transparency, integrity, and traceability of materials and environmental evidence. Traditional custody systems often suffer from inefficiencies, data fragmentation, and vulnerabilities to unauthorized alterations. This paper presents CustódiaBR, a blockchain-based solution designed to enhance the registration and monitoring of oily waste and oiled fauna samples collected during Petrobras’s Beach Monitoring Projects (Projetos de Monitoramento de Praias - PMPs). CustódiaBR integrates real-time data from a centralized monitoring system and leverages the Brazilian Blockchain Network (RBB) to provide a transparent, immutable, and auditable custody record. The proposed system employs a hybrid on-chain/off-chain architecture, composed of five major components, ensuring data integrity while preserving confidentiality through cryptographic hash verification. Through a comparative analysis with existing blockchain-based forensic solutions, this study highlights the advantages of public-permissioned blockchain in industrial applications, demonstrating how CustódiaBR can serve as a model for digital chain of custody systems. © © 2025 by Paper published under CC license (CC BY-NC-ND 4.0)","exclude","I5: Domain relevance",""
503,"A Decentralized Blockchain Transaction Verification Scheme in the Weighted Setting","Xie, Y.; Fan, Q.; Wu, T.; Zuo, C.; Wang, W.; Zhang, C.; Zhu, L.",2025,NA,"10.1109/TDSC.2025.3621238","Blockchain transaction verification is fundamental to decentralized financial applications, ensuring both transaction authorization and integrity. Most existing verification schemes utilize an equal weight model that grants identical rights to all participants. However, these schemes fail to capture real-world scenarios like Proof-of-Stake blockchains, where participants have right discrepancies. Additionally, many schemes depend on trusted third parties for key generation, introducing single points of failure and compromising security. To address these limitations, we propose WBlock that is a weighted and decentralized verification scheme. WBlock involves a distributed key generation protocol that embeds each entity's weight into its secret share, eliminating the need for trusted third parties. It further employs a Schnorr-type weighted threshold signing protocol, enabling distributed transaction authorization while reflecting participant weight in signature shares. Security analysis shows that WBlock achieves both correctness and unforgeability. Comparative theoretical analysis shows that our key generation and signing protocols outperform existing methods in terms of round complexity, communication overhead and data size. Experimental results confirm that WBlock achieves a balance between security and efficiency, with acceptable overhead for real-world blockchain deployment. © 2004-2012 IEEE.","exclude","E2: Non-research context",""
504,"Blockchain as a Tool to Improve Chain of Custody Procedures in Digital Forensics: A Systematic Review; Blockchain como Herramienta para Mejorar los Procedimientos de Cadena de Custodia en el Análisis Forense Digital: Una Revisión Sistemática","Indira Ponte Cuevas, K.; Huamán, A.",2025,NA,"10.18687/LACCEI2025.1.1.321","This review article analyses the impact of blockchain technology on the management of the chain of custody of digital evidence in forensic analysis. Fifteen relevant studies were examined to identify the specific procedures used, the improvements introduced by blockchain, the differences with traditional methods, and the metrics used to evaluate its effectiveness. The results highlight that blockchain offers significant advantages in terms of integrity, traceability, reliability, and efficiency, overcoming the limitations of traditional methods based on centralized and manual records. The most prominent procedures include the use of hashing to ensure the immutability of records, precise timestamps to guarantee traceability, and redundancy through distributed nodes to prevent data loss. Blockchain improves transparency and security, allowing real-time access and reducing human errors through automation with smart contracts. Furthermore, metrics such as consensus rate and resilience demonstrated the robustness of the system in adverse scenarios, while challenges related to energy consumption and interoperability underline the need for more sustainable solutions. It is concluded that blockchain is a transformative technology for digital forensics, capable of redefining evidence custody standards. However, it is essential to address technical and economic challenges through the establishment of global standards and interdisciplinary collaboration to maximize its potential in practical and diverse environments. This work contributes to the understanding of blockchain as a key tool to strengthen forensic processes in the management of digital evidence. © 2025 Latin American and Caribbean Consortium of Engineering Institutions. All rights reserved.","exclude","I5: Domain relevance",""
505,"Formal Verification of a Blockchain-Based Security Model for Personal Data Sharing Using the Dolev-Yao Model and ProVerif","Mandinyenya, G.; Malele, V.",2025,NA,"10.14569/IJACSA.2025.0160942","Secure personal data sharing remains a critical challenge in decentralized systems due to concerns over privacy, compliance, and trust. This paper presents the formal verification of a Blockchain-Based Security Model (BSM) designed to address these challenges through a multi-layered architecture. The proposed model integrates Chaincode-as-a-Service (CCaaS) on Hyperledger Fabric to ensure modular, maintainable, and scalable execution of smart contracts. A Flask-based API serves as the secure gateway for data operations and identity management. Sensitive data is stored off-chain using InterPlanetary File System (IPFS), preserving decentralization while minimizing on-chain bloat. Access control is enforced using efficient cryptographic techniques, while Intel SGX (or simulated enclaves) safeguards secure data processing and decryption within trusted execution environments. To further enhance privacy guarantees, ZeroKnowledge Proofs (ZKPs) are optionally integrated to enable verifiable claims without disclosing raw data. For assurance of correctness and security, the BSM is formally modeled using the Dolev-Yao attacker model and verified through ProVerif, focusing on key security properties such as confidentiality, integrity, authentication, and accountability. The findings confirm that the proposed model satisfies stringent security goals and is robust against symbolic adversaries. This work contributes a verifiable and extensible framework for privacy-preserving data sharing in sectors such as healthcare, finance, and government. To the best of our knowledge, this is among the first works to formally verify a blockchain-based security model that simultaneously integrates modular chaincode execution (CCaaS), trusted hardware enclaves (Intel SGX), decentralized off-chain storage (IPFS), and optional Zero-Knowledge Proofs (ZKPs) with a unified framework for personal data sharing. © 2025 All rights reserved.","include","",""
506,"Futarchy in decentralized science: empirical and simulation evidence for outcome-based conditional markets in DeSci DAOs","Weidener, L.; Shilina, S.",2025,NA,"10.3389/fbloc.2025.1650188","Introduction: This study explores the feasibility of embedding futarchy, specifically policy-binding conditional prediction markets anchored to democratically chosen key performance indicators (KPIs) in Decentralized Science (DeSci) governance. By externalizing belief formation to speculative markets while anchoring values democratically, futarchy offers a structurally distinct alternative to existing Decentralized Autonomous Organization (DAO) governance models. Methods: Through an empirical analysis of governance data from 13 DeSci DAOs, this study examines governance, participation, and cadence patterns that condition futarchic adoption. A retrospective simulation using proposals from VitaDAO assessed the degree to which historical decisions align with futarchy-preferred outcomes. Results: The results indicate full directional alignment under deterministic modeling, suggesting latent compatibility between futarchy and existing DeSci governance. Discussion: The analysis further outlines the design principles for implementation, emphasizing measurable KPIs and epistemic diversity. Futarchy, if carefully instantiated, may serve as a governance alternative for funding truth-tracking science through probabilistic decision making and market-based information aggregation. © © 2025 Weidener and Shilina.","exclude","I5: Domain relevance",""
507,"Building a Credit Risk Data Management and Analysis System for Financial Markets Based on Blockchain Data Storage and Encryption Technology","Li, W.",2025,NA,"10.1109/ICDSNS65743.2025.11168760","As financial markets become increasingly complex, credit risk management has grown more critical and challenging. The traditional approach has a number of shortcomings in the management and analysis of credit risk data. In this paper, we explore the feasibility of using blockchain technology to build a new credit risk data management and analysis system. We studied those key features and awesome things of blockchain technology (such as decentralisation, immutability and cryptographic storage). Based on these, a multi-tier system solution built with blockchain was figured out. This system is like building blocks, with a data layer, a network layer, a consensus layer, a contract layer, and an application layer. And the key technologies and implementation mechanisms of each layer are elaborated in detail. In addition to this, the application effect of the system is verified with practical cases. It is found that using blockchain technology, credit risk data management becomes more secure and personal information is better protected, while reducing the risk of information asymmetry. The advantages of this system in terms of making data more reliable and risk management more efficient are particularly evident through practical cases. In this way, the development of the financial market has a more solid backing and can move forward more steadily. Blockchain technology has great opportunities for development in managing credit risk, and can help us create a data management and analysis platform that is both secure and efficient. Future research could further explore the integration of blockchain with other emerging technologies, working together to improve the overall effectiveness of financial risk management. © 2025 IEEE.","exclude","E2: Non-research context",""
508,"Integrating AI and Blockchain Technologies for Advanced Threat Detection and Secure Data Management in Cyber Ecosystems","Manju, D.; Gandham, P.; Paavan, A.V.B.; Sai Garipally, K.; Kumar, S.R.A.; Jillela, S.",2025,NA,"10.1109/ISAC364032.2025.11156250","The nature of cyber threats is advancing at a phenomenal pace and thus advanced solutions based on artificial intelligence and blockchain technology are needed. Security systems in existence have scalability, real-time threat detection and data integrity problems. The contribution of this research is a hybrid AI Blockchain framework with a higher level of threat detection and data security. Specialized algorithms, that use artificial intelligence, search through cyber threats, while the block chain makes it possible to ensure the tamper-proof storing of all the data. Such methods include usage of smart contracts, user entity and behavior analysis and anomaly detection techniques. The merger is useful in improving detection accuracy, response time, data integrity. The model is proven to be effective for real-world dataset experiments and detection accuracy is improved with fewer false positives. At the same time, the system includes a blockchain emulator, Ganache, which allows to set up a local Ethereum blockchain environment for connecting to Web3. © 2025 IEEE.","include","",""
509,"Blockchain-Enabled Framework for Efficient and Interoperable Proteomic Data Management","Kanu, V.I.; Isong, J.; Ajakwe, S.O.; Jun, T.; Kim, D.-S.",2025,NA,"10.1109/ICUFN65838.2025.11169963","The management and integration of proteomic data remain challenging due to heterogeneous formats, reliance on centralized storage, and restricted interoperability across platforms. While databases like the Protein Data Bank (PDB) and UniProt enhance data organization and accessibility, they struggle with scalability, security, and decentralized data exchange. This study presents a blockchain-driven framework leveraging Hyperledger Fabric and InterPlanetary File System (IPFS) to overcome these limitations. The system employs microservices for API interactions, encryption, and access control, ensuring secure and interoperable bioinformatics data management. Performance assessments, including Locust load testing and Hyperledger Caliper benchmarking, showcased scalability, achieving peak throughputs of 197 TPS (1,000 TxNum) and 206.6 TPS (2,000 TxNum) with stable latency. Validating human insulin protein data demonstrated seamless synchronization between on-chain and off-chain storage, reinforcing data integrity and traceability. Future improvements will focus on real-time protein data uploads, improving scalability for large datasets, and expanding applications in drug discovery to support secure and scalable proteomics system automation. © 2025 IEEE.","include","",""
